state,x,y
Andaman And Nicobar,237.0,-315.0
Andhra Pradesh,-82.0,-205.0
Arunachal Pradesh,272.0,136.0
Assam,233.0,86.0
Bihar,63.0,68.0
Chandigarh,-129.0,197.0
Chhattisgarh,-27.0,-42.0
Daman And Diu,-243.0,-73.0
Delhi,-125.0,140.0
Goa,-197.0,-199.0
Gujarat,-275.0,-14.0
Haryana,-148.0,156.0
Himachal Pradesh,-127.0,228.0
Jammu And Kashmir,-182.0,294.0
Jharkhand,62.0,4.0
Karnataka,-161.0,-215.0
Kerala,-143.0,-318.0
Ladakh,-93.0,313.0
Lakshadweep,-237.0,-326.0
Madhya Pradesh,-107.0,-2.0
Maharashtra,-176.0,-98.0
Manipur,268.0,32.0
Meghalaya,208.0,55.0
Mizoram,244.0,-0.0
Nagaland,286.0,73.0
Odisha,50.0,-65.0
Punjab,-172.0,202.0
Pondicherry,-59.0,-286.0
Rajasthan,-217.0,94.0
Sikkim,142.0,114.0
Tamil Nadu,-93.0,-304.0
Telangana,-91.0,-133.0
Tripura,222.0,10.0
Uttarakhand,-77.0,184.0
Uttar Pradesh,-44.0,94.0
West Bengal,126.0,-9.0
